iter	Passed	Remaining
0	146	102304
1	152	53082
2	158	36871
3	164	28698
4	170	23729
5	177	20521
6	183	18161
7	190	16436
8	196	15065
9	201	13936
10	207	13014
11	213	12265
12	219	11607
13	226	11082
14	231	10592
15	238	10196
16	244	9823
17	251	9516
18	257	9220
19	263	8956
20	268	8693
21	275	8477
22	281	8282
23	287	8106
24	293	7918
25	298	7743
26	304	7589
27	310	7447
28	316	7314
29	323	7220
30	329	7112
31	335	6996
32	342	6913
33	348	6832
34	354	6733
35	360	6643
36	365	6554
37	372	6493
38	378	6413
39	384	6340
40	392	6308
41	399	6252
42	405	6188
43	411	6133
44	417	6076
45	423	6019
46	428	5958
47	434	5902
48	440	5855
49	447	5817
50	453	5776
51	460	5733
52	465	5687
53	471	5646
54	478	5608
55	484	5566
56	490	5528
57	495	5486
58	501	5451
59	507	5415
60	514	5384
61	520	5359
62	526	5326
63	532	5294
64	540	5277
65	546	5253
66	553	5224
67	559	5196
68	565	5170
69	570	5138
70	577	5111
71	583	5092
72	590	5067
73	595	5041
74	601	5014
75	608	4994
76	615	4976
77	620	4949
78	626	4923
79	632	4901
80	639	4883
81	645	4866
82	651	4842
83	657	4821
84	663	4798
85	669	4779
86	675	4758
87	682	4744
88	687	4721
89	693	4699
90	699	4678
91	705	4661
92	711	4646
93	718	4629
94	724	4612
95	730	4594
96	737	4587
97	743	4569
98	749	4551
99	755	4531
100	761	4518
101	767	4498
102	773	4481
103	780	4471
104	786	4458
105	792	4442
106	798	4426
107	804	4411
108	810	4397
109	816	4379
110	821	4361
111	827	4345
112	834	4332
113	839	4317
114	847	4311
115	853	4296
116	859	4284
117	865	4267
118	870	4252
119	877	4242
120	884	4232
121	889	4216
122	896	4204
123	902	4190
124	908	4179
125	914	4167
126	920	4152
127	926	4141
128	933	4130
129	939	4117
130	944	4104
131	950	4091
132	957	4080
133	963	4069
134	970	4061
135	977	4053
136	983	4040
137	988	4027
138	994	4014
139	1000	4001
140	1005	3987
141	1011	3976
142	1017	3964
143	1024	3956
144	1032	3952
145	1039	3943
146	1045	3932
147	1050	3919
148	1057	3911
149	1063	3900
150	1069	3889
151	1076	3880
152	1082	3869
153	1088	3858
154	1094	3849
155	1101	3842
156	1109	3836
157	1117	3835
158	1123	3823
159	1129	3812
160	1135	3801
161	1142	3795
162	1148	3783
163	1154	3773
164	1161	3765
165	1167	3757
166	1175	3750
167	1183	3747
168	1189	3737
169	1194	3725
170	1200	3714
171	1206	3704
172	1212	3694
173	1218	3682
174	1223	3671
175	1230	3663
176	1237	3657
177	1245	3651
178	1250	3640
179	1257	3631
180	1263	3621
181	1268	3611
182	1274	3600
183	1279	3589
184	1287	3582
185	1292	3573
186	1300	3567
187	1307	3560
188	1313	3551
189	1319	3540
190	1324	3530
191	1330	3521
192	1336	3511
193	1342	3500
194	1347	3489
195	1353	3480
196	1361	3475
197	1367	3467
198	1373	3459
199	1381	3452
200	1387	3444
201	1393	3435
202	1399	3425
203	1404	3415
204	1410	3405
205	1416	3396
206	1422	3388
207	1430	3384
208	1437	3377
209	1443	3367
210	1449	3358
211	1455	3349
212	1461	3341
213	1466	3330
214	1472	3321
215	1478	3312
216	1483	3301
217	1489	3293
218	1496	3286
219	1503	3279
220	1510	3273
221	1515	3264
222	1521	3253
223	1527	3245
224	1533	3237
225	1538	3227
226	1543	3217
227	1549	3207
228	1556	3201
229	1565	3198
230	1571	3191
231	1578	3184
232	1584	3176
233	1591	3168
234	1597	3160
235	1603	3152
236	1608	3143
237	1614	3134
238	1621	3126
239	1628	3121
240	1635	3115
241	1641	3107
242	1647	3098
243	1652	3089
244	1658	3080
245	1665	3072
246	1670	3064
